expName; 'EDFfile'; date; subjID; subjNum; blockNum; trialNo; trialType; goResp; RT; tpResp; tpRT; stickyResp; stickyRT; temporalResp; temporalRT; valenceResp; valenceRT
SARTmathanja;SART901.EDF;2018_Apr_23_1327;testEm;901;1;43;1;m;0.763922929764;NA;NA;NA;NA; NA; NA; NA; NA
SARTmathanja;SART901.EDF;2018_Apr_23_1327;testEm;901;1;44;1;m;0.925714969635;NA;NA;NA;NA; NA; NA; NA; NA
SARTmathanja;SART901.EDF;2018_Apr_23_1327;testEm;901;1;45;1;m;0.745301961899;NA;NA;NA;NA; NA; NA; NA; NA
SARTmathanja;SART901.EDF;2018_Apr_23_1327;testEm;901;1;46;1;m;0.920328140259;NA;NA;NA;NA; NA; NA; NA; NA
SARTmathanja;SART901.EDF;2018_Apr_23_1327;testEm;901;1;47;1;m;0.666651010513;NA;NA;NA;NA; NA; NA; NA; NA
SARTmathanja;SART901.EDF;2018_Apr_23_1327;testEm;901;1;48;1;m;0.762272119522;NA;NA;NA;NA; NA; NA; NA; NA
SARTmathanja;SART901.EDF;2018_Apr_23_1327;testEm;901;1;49;1;m;0.75260591507;NA;NA;NA;NA; NA; NA; NA; NA
SARTmathanja;SART901.EDF;2018_Apr_23_1327;testEm;901;1;50;1;m;0.847207069397;NA;NA;NA;NA; NA; NA; NA; NA
SARTmathanja;SART901.EDF;2018_Apr_23_1327;testEm;901;1;51;1;m;0.685238838196;NA;NA;NA;NA; NA; NA; NA; NA
SARTmathanja;SART901.EDF;2018_Apr_23_1327;testEm;901;1;52;1;m;0.658449888229;NA;NA;NA;NA; NA; NA; NA; NA
SARTmathanja;SART901.EDF;2018_Apr_23_1327;testEm;901;1;53;1;m;0.8505859375;NA;NA;NA;NA; NA; NA; NA; NA
SARTmathanja;SART901.EDF;2018_Apr_23_1327;testEm;901;1;54;1;m;0.843449115753;NA;NA;NA;NA; NA; NA; NA; NA
SARTmathanja;SART901.EDF;2018_Apr_23_1327;testEm;901;1;55;1;m;0.58754491806;NA;NA;NA;NA; NA; NA; NA; NA
SARTmathanja;SART901.EDF;2018_Apr_23_1327;testEm;901;1;56;1;m;0.705064058304;NA;NA;NA;NA; NA; NA; NA; NA
SARTmathanja;SART901.EDF;2018_Apr_23_1327;testEm;901;1;57;1;m;0.444691181183;NA;NA;NA;NA; NA; NA; NA; NA
SARTmathanja;SART901.EDF;2018_Apr_23_1327;testEm;901;1;58;2;0;NA;NA;NA;NA;NA; NA; NA; NA; NA
SARTmathanja;SART901.EDF;2018_Apr_23_1328;testEm;901;1;59;5;NA;NA;2;186.731.948.853;4;270.477.540.493;1;292.012.679.577;71;327.489.390.373
SARTmathanja;SART901.EDF;2018_Apr_23_1328;testEm;901;1;60;1;m;0.577637195587;NA;NA;NA;NA; NA; NA; NA; NA
SARTmathanja;SART901.EDF;2018_Apr_23_1328;testEm;901;1;61;1;m;0.892570018768;NA;NA;NA;NA; NA; NA; NA; NA
SARTmathanja;SART901.EDF;2018_Apr_23_1328;testEm;901;1;62;1;m;0.729755163193;NA;NA;NA;NA; NA; NA; NA; NA
SARTmathanja;SART901.EDF;2018_Apr_23_1328;testEm;901;1;63;1;m;0.844195127487;NA;NA;NA;NA; NA; NA; NA; NA
SARTmathanja;SART901.EDF;2018_Apr_23_1328;testEm;901;1;64;1;m;0.691614866257;NA;NA;NA;NA; NA; NA; NA; NA
SARTmathanja;SART901.EDF;2018_Apr_23_1328;testEm;901;1;65;2;0;NA;NA;NA;NA;NA; NA; NA; NA; NA
SARTmathanja;SART901.EDF;2018_Apr_23_1328;testEm;901;1;66;1;m;0.872986078262;NA;NA;NA;NA; NA; NA; NA; NA
SARTmathanja;SART901.EDF;2018_Apr_23_1328;testEm;901;1;67;1;m;100.003.004.074;NA;NA;NA;NA; NA; NA; NA; NA
SARTmathanja;SART901.EDF;2018_Apr_23_1328;testEm;901;1;68;1;m;114.996.981.621;NA;NA;NA;NA; NA; NA; NA; NA
SARTmathanja;SART901.EDF;2018_Apr_23_1328;testEm;901;1;69;1;m;100.520.515.442;NA;NA;NA;NA; NA; NA; NA; NA
SARTmathanja;SART901.EDF;2018_Apr_23_1328;testEm;901;1;70;2;0;NA;NA;NA;NA;NA; NA; NA; NA; NA
SARTmathanja;SART901.EDF;2018_Apr_23_1329;testEm;901;1;71;5;NA;NA;1;297.325.515.747;5;531.016.111.374;1;700.997.304.916;77;104.886.331.558
SARTmathanja;SART901.EDF;2018_Apr_23_1329;testEm;901;1;72;1;m;0.763335943222;NA;NA;NA;NA; NA; NA; NA; NA
SARTmathanja;SART901.EDF;2018_Apr_23_1329;testEm;901;1;73;1;m;0.769546985626;NA;NA;NA;NA; NA; NA; NA; NA
SARTmathanja;SART901.EDF;2018_Apr_23_1329;testEm;901;1;74;1;m;0.885670900345;NA;NA;NA;NA; NA; NA; NA; NA
SARTmathanja;SART901.EDF;2018_Apr_23_1329;testEm;901;1;75;1;m;0.784656047821;NA;NA;NA;NA; NA; NA; NA; NA
SARTmathanja;SART901.EDF;2018_Apr_23_1329;testEm;901;1;76;1;m;0.683607816696;NA;NA;NA;NA; NA; NA; NA; NA
SARTmathanja;SART901.EDF;2018_Apr_23_1329;testEm;901;1;77;1;m;0.732517957687;NA;NA;NA;NA; NA; NA; NA; NA
SARTmathanja;SART901.EDF;2018_Apr_23_1329;testEm;901;1;78;1;m;0.800967931747;NA;NA;NA;NA; NA; NA; NA; NA
SARTmathanja;SART901.EDF;2018_Apr_23_1329;testEm;901;1;79;1;m;0.738218069077;NA;NA;NA;NA; NA; NA; NA; NA
SARTmathanja;SART901.EDF;2018_Apr_23_1329;testEm;901;1;80;2;0;NA;NA;NA;NA;NA; NA; NA; NA; NA
SARTmathanja;SART901.EDF;2018_Apr_23_1329;testEm;901;1;81;5;NA;NA;2;408.471.512.794;5;765.052.199.364;1;893.554.902.077;73;120.600.380.898
SARTmathanja;SART901.EDF;2018_Apr_23_1329;testEm;901;1;82;1;m;0.878937959671;NA;NA;NA;NA; NA; NA; NA; NA
SARTmathanja;SART901.EDF;2018_Apr_23_1329;testEm;901;1;83;2;0;NA;NA;NA;NA;NA; NA; NA; NA; NA
SARTmathanja;SART901.EDF;2018_Apr_23_1329;testEm;901;1;84;1;m;0.520497083664;NA;NA;NA;NA; NA; NA; NA; NA
